image_path,image_name,label,confidence,notes
Spinal-AI2024-subset1/000001.jpg,000001.jpg,,,
Spinal-AI2024-subset1/000002.jpg,000002.jpg,,,
Spinal-AI2024-subset1/000003.jpg,000003.jpg,,,
Spinal-AI2024-subset1/000004.jpg,000004.jpg,,,
Spinal-AI2024-subset1/000005.jpg,000005.jpg,,,
Spinal-AI2024-subset1/000006.jpg,000006.jpg,,,
Spinal-AI2024-subset1/000007.jpg,000007.jpg,,,
Spinal-AI2024-subset1/000008.jpg,000008.jpg,,,
Spinal-AI2024-subset1/000009.jpg,000009.jpg,,,
Spinal-AI2024-subset1/000010.jpg,000010.jpg,,,
Spinal-AI2024-subset1/000011.jpg,000011.jpg,,,
Spinal-AI2024-subset1/000012.jpg,000012.jpg,,,
Spinal-AI2024-subset1/000013.jpg,000013.jpg,,,
Spinal-AI2024-subset1/000014.jpg,000014.jpg,,,
Spinal-AI2024-subset1/000015.jpg,000015.jpg,,,
Spinal-AI2024-subset1/000016.jpg,000016.jpg,,,
Spinal-AI2024-subset1/000017.jpg,000017.jpg,,,
Spinal-AI2024-subset1/000018.jpg,000018.jpg,,,
Spinal-AI2024-subset1/000019.jpg,000019.jpg,,,
Spinal-AI2024-subset1/000020.jpg,000020.jpg,,,
Spinal-AI2024-subset1/000021.jpg,000021.jpg,,,
Spinal-AI2024-subset1/000022.jpg,000022.jpg,,,
Spinal-AI2024-subset1/000023.jpg,000023.jpg,,,
Spinal-AI2024-subset1/000024.jpg,000024.jpg,,,
Spinal-AI2024-subset1/000025.jpg,000025.jpg,,,
Spinal-AI2024-subset1/000026.jpg,000026.jpg,,,
Spinal-AI2024-subset1/000027.jpg,000027.jpg,,,
Spinal-AI2024-subset1/000028.jpg,000028.jpg,,,
Spinal-AI2024-subset1/000029.jpg,000029.jpg,,,
Spinal-AI2024-subset1/000030.jpg,000030.jpg,,,
Spinal-AI2024-subset1/000031.jpg,000031.jpg,,,
Spinal-AI2024-subset1/000032.jpg,000032.jpg,,,
Spinal-AI2024-subset1/000033.jpg,000033.jpg,,,
Spinal-AI2024-subset1/000034.jpg,000034.jpg,,,
Spinal-AI2024-subset1/000035.jpg,000035.jpg,,,
Spinal-AI2024-subset1/000036.jpg,000036.jpg,,,
Spinal-AI2024-subset1/000037.jpg,000037.jpg,,,
Spinal-AI2024-subset1/000038.jpg,000038.jpg,,,
Spinal-AI2024-subset1/000039.jpg,000039.jpg,,,
Spinal-AI2024-subset1/000040.jpg,000040.jpg,,,
Spinal-AI2024-subset1/000041.jpg,000041.jpg,,,
Spinal-AI2024-subset1/000042.jpg,000042.jpg,,,
Spinal-AI2024-subset1/000043.jpg,000043.jpg,,,
Spinal-AI2024-subset1/000044.jpg,000044.jpg,,,
Spinal-AI2024-subset1/000045.jpg,000045.jpg,,,
Spinal-AI2024-subset1/000046.jpg,000046.jpg,,,
Spinal-AI2024-subset1/000047.jpg,000047.jpg,,,
Spinal-AI2024-subset1/000048.jpg,000048.jpg,,,
Spinal-AI2024-subset1/000049.jpg,000049.jpg,,,
Spinal-AI2024-subset1/000050.jpg,000050.jpg,,,
Spinal-AI2024-subset1/000051.jpg,000051.jpg,,,
Spinal-AI2024-subset1/000052.jpg,000052.jpg,,,
Spinal-AI2024-subset1/000053.jpg,000053.jpg,,,
Spinal-AI2024-subset1/000054.jpg,000054.jpg,,,
Spinal-AI2024-subset1/000055.jpg,000055.jpg,,,
Spinal-AI2024-subset1/000056.jpg,000056.jpg,,,
Spinal-AI2024-subset1/000057.jpg,000057.jpg,,,
Spinal-AI2024-subset1/000058.jpg,000058.jpg,,,
Spinal-AI2024-subset1/000059.jpg,000059.jpg,,,
Spinal-AI2024-subset1/000060.jpg,000060.jpg,,,
Spinal-AI2024-subset1/000061.jpg,000061.jpg,,,
Spinal-AI2024-subset1/000062.jpg,000062.jpg,,,
Spinal-AI2024-subset1/000063.jpg,000063.jpg,,,
Spinal-AI2024-subset1/000064.jpg,000064.jpg,,,
Spinal-AI2024-subset1/000065.jpg,000065.jpg,,,
Spinal-AI2024-subset1/000066.jpg,000066.jpg,,,
Spinal-AI2024-subset1/000067.jpg,000067.jpg,,,
Spinal-AI2024-subset1/000068.jpg,000068.jpg,,,
Spinal-AI2024-subset1/000069.jpg,000069.jpg,,,
Spinal-AI2024-subset1/000070.jpg,000070.jpg,,,
Spinal-AI2024-subset1/000071.jpg,000071.jpg,,,
Spinal-AI2024-subset1/000072.jpg,000072.jpg,,,
Spinal-AI2024-subset1/000073.jpg,000073.jpg,,,
Spinal-AI2024-subset1/000074.jpg,000074.jpg,,,
Spinal-AI2024-subset1/000075.jpg,000075.jpg,,,
Spinal-AI2024-subset1/000076.jpg,000076.jpg,,,
Spinal-AI2024-subset1/000077.jpg,000077.jpg,,,
Spinal-AI2024-subset1/000078.jpg,000078.jpg,,,
Spinal-AI2024-subset1/000079.jpg,000079.jpg,,,
Spinal-AI2024-subset1/000080.jpg,000080.jpg,,,
Spinal-AI2024-subset1/000081.jpg,000081.jpg,,,
Spinal-AI2024-subset1/000082.jpg,000082.jpg,,,
Spinal-AI2024-subset1/000083.jpg,000083.jpg,,,
Spinal-AI2024-subset1/000084.jpg,000084.jpg,,,
Spinal-AI2024-subset1/000085.jpg,000085.jpg,,,
Spinal-AI2024-subset1/000086.jpg,000086.jpg,,,
Spinal-AI2024-subset1/000087.jpg,000087.jpg,,,
Spinal-AI2024-subset1/000088.jpg,000088.jpg,,,
Spinal-AI2024-subset1/000089.jpg,000089.jpg,,,
Spinal-AI2024-subset1/000090.jpg,000090.jpg,,,
Spinal-AI2024-subset1/000091.jpg,000091.jpg,,,
Spinal-AI2024-subset1/000092.jpg,000092.jpg,,,
Spinal-AI2024-subset1/000093.jpg,000093.jpg,,,
Spinal-AI2024-subset1/000094.jpg,000094.jpg,,,
Spinal-AI2024-subset1/000095.jpg,000095.jpg,,,
Spinal-AI2024-subset1/000096.jpg,000096.jpg,,,
Spinal-AI2024-subset1/000097.jpg,000097.jpg,,,
Spinal-AI2024-subset1/000098.jpg,000098.jpg,,,
Spinal-AI2024-subset1/000099.jpg,000099.jpg,,,
Spinal-AI2024-subset1/000100.jpg,000100.jpg,,,
Spinal-AI2024-subset1/000101.jpg,000101.jpg,,,
Spinal-AI2024-subset1/000102.jpg,000102.jpg,,,
Spinal-AI2024-subset1/000103.jpg,000103.jpg,,,
Spinal-AI2024-subset1/000104.jpg,000104.jpg,,,
Spinal-AI2024-subset1/000105.jpg,000105.jpg,,,
Spinal-AI2024-subset1/000106.jpg,000106.jpg,,,
Spinal-AI2024-subset1/000107.jpg,000107.jpg,,,
Spinal-AI2024-subset1/000108.jpg,000108.jpg,,,
Spinal-AI2024-subset1/000109.jpg,000109.jpg,,,
Spinal-AI2024-subset1/000110.jpg,000110.jpg,,,
Spinal-AI2024-subset1/000111.jpg,000111.jpg,,,
Spinal-AI2024-subset1/000112.jpg,000112.jpg,,,
Spinal-AI2024-subset1/000113.jpg,000113.jpg,,,
Spinal-AI2024-subset1/000114.jpg,000114.jpg,,,
Spinal-AI2024-subset1/000115.jpg,000115.jpg,,,
Spinal-AI2024-subset1/000116.jpg,000116.jpg,,,
Spinal-AI2024-subset1/000117.jpg,000117.jpg,,,
Spinal-AI2024-subset1/000118.jpg,000118.jpg,,,
Spinal-AI2024-subset1/000119.jpg,000119.jpg,,,
Spinal-AI2024-subset1/000120.jpg,000120.jpg,,,
Spinal-AI2024-subset1/000121.jpg,000121.jpg,,,
Spinal-AI2024-subset1/000122.jpg,000122.jpg,,,
Spinal-AI2024-subset1/000123.jpg,000123.jpg,,,
Spinal-AI2024-subset1/000124.jpg,000124.jpg,,,
Spinal-AI2024-subset1/000125.jpg,000125.jpg,,,
Spinal-AI2024-subset1/000126.jpg,000126.jpg,,,
Spinal-AI2024-subset1/000127.jpg,000127.jpg,,,
Spinal-AI2024-subset1/000128.jpg,000128.jpg,,,
Spinal-AI2024-subset1/000129.jpg,000129.jpg,,,
Spinal-AI2024-subset1/000130.jpg,000130.jpg,,,
Spinal-AI2024-subset1/000131.jpg,000131.jpg,,,
Spinal-AI2024-subset1/000132.jpg,000132.jpg,,,
Spinal-AI2024-subset1/000133.jpg,000133.jpg,,,
Spinal-AI2024-subset1/000134.jpg,000134.jpg,,,
Spinal-AI2024-subset1/000135.jpg,000135.jpg,,,
Spinal-AI2024-subset1/000136.jpg,000136.jpg,,,
Spinal-AI2024-subset1/000137.jpg,000137.jpg,,,
Spinal-AI2024-subset1/000138.jpg,000138.jpg,,,
Spinal-AI2024-subset1/000139.jpg,000139.jpg,,,
Spinal-AI2024-subset1/000140.jpg,000140.jpg,,,
Spinal-AI2024-subset1/000141.jpg,000141.jpg,,,
Spinal-AI2024-subset1/000142.jpg,000142.jpg,,,
Spinal-AI2024-subset1/000143.jpg,000143.jpg,,,
Spinal-AI2024-subset1/000144.jpg,000144.jpg,,,
Spinal-AI2024-subset1/000145.jpg,000145.jpg,,,
Spinal-AI2024-subset1/000146.jpg,000146.jpg,,,
Spinal-AI2024-subset1/000147.jpg,000147.jpg,,,
Spinal-AI2024-subset1/000148.jpg,000148.jpg,,,
Spinal-AI2024-subset1/000149.jpg,000149.jpg,,,
Spinal-AI2024-subset1/000150.jpg,000150.jpg,,,
Spinal-AI2024-subset1/000151.jpg,000151.jpg,,,
Spinal-AI2024-subset1/000152.jpg,000152.jpg,,,
Spinal-AI2024-subset1/000153.jpg,000153.jpg,,,
Spinal-AI2024-subset1/000154.jpg,000154.jpg,,,
Spinal-AI2024-subset1/000155.jpg,000155.jpg,,,
Spinal-AI2024-subset1/000156.jpg,000156.jpg,,,
Spinal-AI2024-subset1/000157.jpg,000157.jpg,,,
Spinal-AI2024-subset1/000158.jpg,000158.jpg,,,
Spinal-AI2024-subset1/000159.jpg,000159.jpg,,,
Spinal-AI2024-subset1/000160.jpg,000160.jpg,,,
Spinal-AI2024-subset1/000161.jpg,000161.jpg,,,
Spinal-AI2024-subset1/000162.jpg,000162.jpg,,,
Spinal-AI2024-subset1/000163.jpg,000163.jpg,,,
Spinal-AI2024-subset1/000164.jpg,000164.jpg,,,
Spinal-AI2024-subset1/000165.jpg,000165.jpg,,,
Spinal-AI2024-subset1/000166.jpg,000166.jpg,,,
Spinal-AI2024-subset1/000167.jpg,000167.jpg,,,
Spinal-AI2024-subset1/000168.jpg,000168.jpg,,,
Spinal-AI2024-subset1/000169.jpg,000169.jpg,,,
